챔피언명,챔피언_ID,API_이름,별명,난이도,주_직업군,보조_직업군,사용_자원,기본_능력치,공격_형태,출시일,출시_패치,최근_변경_패치,세부_역할군,추천_포지션,실제_활용_포지션,피해량,내구력,군중_제어,기동력,보조_능력,공격_성향,적응형_능력치,파랑_정수_가격,RP_가격,패시브_스킬,Q_스킬,W_스킬,E_스킬,R_스킬,전체_스킬,본명,별칭
아트록스,266.0,Aatrox,다르킨의 검,2,전사,탱커,피의 샘,"{'기본_체력': 650, '레벨당_체력': 114, '기본_자원': 0, '레벨당_자원': 0, '기본_방어력': 38, '레벨당_방어력': 4.8, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 3, '레벨당_체력_재생': 0.5, '기본_자원_재생': 0, '레벨당_자원_재생': 0, '기본_공격력': 60, '레벨당_공격력': 5, '기본_공격_속도': 0.651, '레벨당_공격_속도': 2.5, '공격_사거리': 175, '이동_속도': 345, '탐색_반경': 475, '선택_높이': 180, '선택_반경': 135, '충돌_반경': 35, '공격_속도_계수': 0.651000022888183, '공격_시전_시간': 0.300000011920928, '총_공격_시간': 1.51999998092651, '무작위_총력전': {'가하는_피해': 1.05, '받는_피해': 1}, '초고속_모드': {'가하는_피해': 1.15, '받는_피해': 0.7}}",근접,2013-06-13,V3.8,V25.12,{돌격형 전사},{탑},{탑},3,3,2,2,2,20,물리,2400,880,{1: '사신 태세'},"{1: '다르킨의 검', 2: '다르킨의 검 (변형 2)', 3: '다르킨의 검 (변형 3)'}",{1: '지옥사슬'},{1: '파멸의 돌진'},{1: '세계의 종결자'},"['사신 태세', '다르킨의 검', '다르킨의 검 (변형 2)', '다르킨의 검 (변형 3)', '지옥사슬', '파멸의 돌진', '세계의 종결자']",,
아리,103.0,Ahri,구미호,2,마법사,암살자,마나,"{'기본_체력': 590, '레벨당_체력': 104, '기본_자원': 418, '레벨당_자원': 25, '기본_방어력': 21, '레벨당_방어력': 4.2, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 2.5, '레벨당_체력_재생': 0.6, '기본_자원_재생': 8, '레벨당_자원_재생': 0.8, '기본_공격력': 53, '레벨당_공격력': 3, '기본_공격_속도': 0.668, '레벨당_공격_속도': 2.2, '공격_사거리': 550, '이동_속도': 330, '탐색_반경': 525, '선택_높이': 135, '선택_반경': 100, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_지연_보정': -0.1, '투사체_속도': 1750, '무작위_총력전': {'가하는_피해': 1, '받는_피해': 1, '회복량': 0.9}, '초고속_모드': {'가하는_피해': 0.9, '받는_피해': 1.05}, '궁극기_주문서': {'받는_피해': 0.95}}",원거리,2011-12-14,V1.0.0.131,V25.13,{집중형 마법사},{미드},{미드},3,1,2,3,1,100,마법,1575,790,{1: '정기 흡수'},{1: '현혹의 구슬'},{1: '여우불'},{1: '매혹'},{1: '혼령 질주'},"['정기 흡수', '현혹의 구슬', '여우불', '매혹', '혼령 질주']",,
아칼리,84.0,Akali,섬기는 이 없는 암살자,3,암살자,,기력,"{'기본_체력': 600, '레벨당_체력': 119, '기본_자원': 200, '레벨당_자원': 0, '기본_방어력': 23, '레벨당_방어력': 4.7, '기본_마법_저항력': 37, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 9, '레벨당_체력_재생': 0.9, '기본_자원_재생': 50, '레벨당_자원_재생': 0, '기본_공격력': 62, '레벨당_공격력': 3.3, '기본_공격_속도': 0.625, '레벨당_공격_속도': 3.2, '공격_사거리': 125, '이동_속도': 345, '탐색_반경': 400, '선택_높이': 138.88890075683594, '선택_반경': 100, '충돌_반경': 30, '공격_속도_계수': 0.625, '공격_지연_보정': -0.160999998450279, '무작위_총력전': {'가하는_피해': 1.05, '받는_피해': 0.9, 'energyregen_mod': 1.2, '강인함': 1.2}, '아레나': {'레벨당_체력': 2}, '돌격_넥서스': {'받는_피해': 0.9, '스킬_가속': 20}, '단일_챔피언': {'가하는_피해': 1.05, '받는_피해': 0.97}, '초고속_모드': {'받는_피해': 0.9}}",근접,2010-05-11,V1.0.0.85,V25.12,{암살자},"{미드, 탑}","{미드, 탑}",3,1,1,3,1,65,물리,1575,790,{1: '암살자의 표식'},"{1: '오연투척검', 2: '오연투척검 (변형 2)'}",{1: '황혼의 장막'},"{1: '표창곡예', 2: '표창곡예 (변형 2)'}","{1: '무결처형', 2: '무결처형 (변형 2)'}","['암살자의 표식', '오연투척검', '오연투척검 (변형 2)', '황혼의 장막', '표창곡예', '표창곡예 (변형 2)', '무결처형', '무결처형 (변형 2)']",아칼리 조멘 테시,
아크샨,166.0,Akshan,떠도는 감시자,3,원거리 딜러,암살자,마나,"{'기본_체력': 630, '레벨당_체력': 107, '기본_자원': 350, '레벨당_자원': 40, '기본_방어력': 26, '레벨당_방어력': 4.7, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 3.75, '레벨당_체력_재생': 0.65, '기본_자원_재생': 8.2, '레벨당_자원_재생': 0.7, '기본_공격력': 52, '레벨당_공격력': 3, '기본_공격_속도': 0.638, '레벨당_공격_속도': 4, '공격_사거리': 500, '이동_속도': 330, '탐색_반경': 750, '선택_높이': 100, '선택_반경': 100, '충돌_반경': 35, '공격_속도_계수': 0.4, '공격_지연_보정': -0.1667, '투사체_속도': 2000, '무작위_총력전': {'가하는_피해': 1.05, '받는_피해': 0.95}, '아레나': {'레벨당_체력': 8, '레벨당_공격력': 0.7}, '초고속_모드': {'가하는_피해': 1.05, '받는_피해': 1}}",원거리,2021-07-22,V11.15,V14.22,"{암살자, 원거리 딜러}",{미드},{미드},3,1,1,3,2,1,물리,2400,880,{1: '비열한 싸움'},{1: '복수의 부메랑'},{1: '악당 처단'},"{1: '영웅의 비상', 2: '영웅의 비상 (변형 2)'}",{1: '인과응보'},"['비열한 싸움', '복수의 부메랑', '악당 처단', '영웅의 비상', '영웅의 비상 (변형 2)', '인과응보']",,
알리스타,12.0,Alistar,미노타우로스,1,탱커,서포터,마나,"{'기본_체력': 685, '레벨당_체력': 120, '기본_자원': 350, '레벨당_자원': 40, '기본_방어력': 47, '레벨당_방어력': 4.7, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 8.5, '레벨당_체력_재생': 0.85, '기본_자원_재생': 8.5, '레벨당_자원_재생': 0.8, '기본_공격력': 62, '레벨당_공격력': 3.75, '기본_공격_속도': 0.625, '레벨당_공격_속도': 2.125, '공격_사거리': 125, '이동_속도': 330, '탐색_반경': 600, '선택_높이': 170, '선택_반경': 140, '충돌_반경': 50, '게임플레이_반경': 80, '공격_속도_계수': 0.625, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.05, '회복량': 0.8}, '단일_챔피언': {'가하는_피해': 1.05, '받는_피해': 0.97}, '궁극기_주문서': {'가하는_피해': 0.95, '받는_피해': 1}, '초고속_모드': {'가하는_피해': 1, '받는_피해': 0.95}}",근접,2009-02-21,Alpha Week 2,V14.16,{선봉대},{서포터},{서포터},1,3,3,1,2,65,마법,675,585,{1: '승리의 포효'},{1: '분쇄'},{1: '박치기'},{1: '짓밟기'},{1: '꺾을 수 없는 의지'},"['승리의 포효', '분쇄', '박치기', '짓밟기', '꺾을 수 없는 의지']",,
암베사,799.0,Ambessa,전장의 우두머리,3,전사,암살자,기력,"{'기본_체력': 630, '레벨당_체력': 110, '기본_자원': 200, '레벨당_자원': 0, '기본_방어력': 35, '레벨당_방어력': 4.9, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 8.5, '레벨당_체력_재생': 0.75, '기본_자원_재생': 50, '레벨당_자원_재생': 0, '기본_공격력': 63, '레벨당_공격력': 3, '기본_공격_속도': 0.625, '레벨당_공격_속도': 2.5, '공격_사거리': 125, '이동_속도': 335, '공격_속도_계수': 0.625, '탐색_반경': 600, '선택_높이': 100, '선택_반경': 100, '충돌_반경': 35, '공격_시전_시간': 0.25, '총_공격_시간': 1.6, '무작위_총력전': {'받는_피해': 1.05}}",근접,2024-11-06,V14.22,V25.11,"{기동형 전사, 척후병}",{탑},{탑},3,2,1,3,1,55,물리,3150,975,{1: '용사냥개의 발걸음'},"{1: '교활한 휩쓸기', 2: '파멸의 일격'}",{1: '배척'},{1: '찢어 가르기'},{1: '공개 처형'},"['용사냥개의 발걸음', '교활한 휩쓸기', '파멸의 일격', '배척', '찢어 가르기', '공개 처형']",암베사 메다르다,
아무무,32.0,Amumu,슬픈 미라,1,탱커,서포터,마나,"{'기본_체력': 685, '레벨당_체력': 94, '기본_자원': 285, '레벨당_자원': 40, '기본_방어력': 33, '레벨당_방어력': 4, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 9, '레벨당_체력_재생': 0.85, '기본_자원_재생': 7.4, '레벨당_자원_재생': 0.55, '기본_공격력': 57, '레벨당_공격력': 3.8, '기본_공격_속도': 0.736, '레벨당_공격_속도': 2.18, '공격_사거리': 125, '이동_속도': 335, '탐색_반경': 600, '선택_높이': 130, '선택_반경': 100, '충돌_반경': 30, '게임플레이_반경': 55, '공격_속도_계수': 0.638000011444091, '공격_지연_보정': -0.0661564618349075, '무작위_총력전': {'받는_피해': 1}, '단일_챔피언': {'받는_피해': 1.05}, '초고속_모드': {'가하는_피해': 1.1, '받는_피해': 0.9}}",근접,2009-06-26,"June 26, 2009 Patch",V14.9,{선봉대},{정글},"{서포터, 정글}",2,3,3,1,1,90,마법,225,260,{1: '저주의 손길'},{1: '붕대 던지기'},{1: '절망'},{1: '짜증내기'},{1: '슬픈 미라의 저주'},"['저주의 손길', '붕대 던지기', '절망', '짜증내기', '슬픈 미라의 저주']",,
애니비아,34.0,Anivia,얼음불사조,2,마법사,서포터,마나,"{'기본_체력': 550, '레벨당_체력': 92, '기본_자원': 495, '레벨당_자원': 45, '기본_방어력': 21, '레벨당_방어력': 4.5, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 8, '레벨당_자원_재생': 0.8, '기본_공격력': 51, '레벨당_공격력': 3.2, '기본_공격_속도': 0.658, '레벨당_공격_속도': 1.68, '공격_사거리': 600, '이동_속도': 325, '탐색_반경': 600, '선택_높이': 140, '선택_반경': 140, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_지연_보정': -0.1, '무작위_총력전': {'가하는_피해': 1.05, '받는_피해': 1}, '초고속_모드': {'가하는_피해': 1.15, '받는_피해': 0.92}, '궁극기_주문서': {'가하는_피해': 1.1, '받는_피해': 0.9}, '투사체_속도': 1600}",원거리,2009-07-10,"July 10, 2009 Patch",V25.13,{전투 마법사},{미드},{미드},3,1,3,1,2,100,마법,1575,790,{1: '환생'},{1: '냉기 폭발'},{1: '결정화'},{1: '동상'},{1: '얼음 폭풍'},"['환생', '냉기 폭발', '결정화', '동상', '얼음 폭풍']",,
애니,1.0,Annie,어둠의 아이,1,마법사,서포터,마나,"{'기본_체력': 560, '레벨당_체력': 96, '기본_자원': 418, '레벨당_자원': 25, '기본_방어력': 23, '레벨당_방어력': 4, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 8, '레벨당_자원_재생': 0.8, '기본_공격력': 50, '레벨당_공격력': 2.65, '기본_공격_속도': 0.61, '레벨당_공격_속도': 1.36, '공격_사거리': 625, '이동_속도': 335, '탐색_반경': 625, '선택_높이': 85, '선택_반경': 100, '충돌_반경': 30, '게임플레이_반경': 55, '공격_속도_계수': 0.625, '공격_지연_보정': -0.10420524328947, '투사체_속도': 1500, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.05, '보호막량': 0.9}, '아레나': {'레벨당_체력': -10}, '초고속_모드': {'가하는_피해': 0.9, '받는_피해': 1.05}}",원거리,2009-02-21,Alpha Week 2,V25.11,{집중형 마법사},{미드},{미드},3,1,3,1,2,100,마법,225,260,{1: '방화광'},{1: '붕괴'},{1: '소각'},{1: '용암 방패'},"{1: '소환: 티버', 2: '소환: 티버 (변형 2)'}","['방화광', '붕괴', '소각', '용암 방패', '소환: 티버', '소환: 티버 (변형 2)']",애니 하스터,
아펠리오스,523.0,Aphelios,신념의 무기,3,원거리 딜러,,마나,"{'기본_체력': 600, '레벨당_체력': 102, '기본_자원': 348, '레벨당_자원': 42, '기본_방어력': 26, '레벨당_방어력': 4.2, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 3.25, '레벨당_체력_재생': 0.55, '기본_자원_재생': 6.5, '레벨당_자원_재생': 0.4, '기본_공격력': 55, '레벨당_공격력': 2.3, '기본_공격_속도': 0.665, '레벨당_공격_속도': 2.1, '공격_사거리': 550, '이동_속도': 325, '선택_높이': 140, '선택_반경': 110, '충돌_반경': 35, '공격_속도_계수': 0.658, '총_공격_시간': 1.5, '공격_시전_시간': 0.23000000417232513, '무작위_총력전': {'가하는_피해': 1, '받는_피해': 1}, '초고속_모드': {'가하는_피해': 1.05}, '단일_챔피언': {'가하는_피해': 1.08}, '궁극기_주문서': {'가하는_피해': 0.95}}",원거리,2019-12-11,V9.24,V25.12,{원거리 딜러},{바텀},{바텀},3,1,2,1,1,20,물리,2400,880,"{1: '암살자와 예언자', 2: '암살자와 예언자 (변형 2)', 3: '암살자와 예언자 (변형 3)', 4: '암살자와 예언자 (변형 4)', 5: '암살자와 예언자 (변형 5)', 6: '암살자와 예언자 (변형 6)'}","{1: '무기의 달인', 2: '무기의 달인 (변형 2)', 3: '무기의 달인 (변형 3)', 4: '무기의 달인 (변형 4)', 5: '무기의 달인 (변형 5)', 6: '무기의 달인 (변형 6)'}",{1: '위상 변화'},{1: '무기 교체 시스템'},{1: '월광포화'},"['암살자와 예언자', '암살자와 예언자 (변형 2)', '암살자와 예언자 (변형 3)', '암살자와 예언자 (변형 4)', '암살자와 예언자 (변형 5)', '암살자와 예언자 (변형 6)', '무기의 달인', '무기의 달인 (변형 2)', '무기의 달인 (변형 3)', '무기의 달인 (변형 4)', '무기의 달인 (변형 5)', '무기의 달인 (변형 6)', '위상 변화', '무기 교체 시스템', '월광포화']",,
